"WORKFLOWINSTANCEID,""PROCESSTYPE"",""PROCESSDOCUMENTID"",""STEPNAME"""
"3bbf1c86-6878-11f0-912a-eeee0a9ccae6,""PR"",""11235758"","
"b8c3faf2-926c-11f0-a1f7-eeee0a80b352,""PO"",""4500127202"","
"b165c087-a4ef-11f0-8b33-eeee0a8612b5,""PO"",""4500129157"","
"d3490938-df8c-4e4b-b283-2d714777dc2d,""PR"",""12738224"","
"1af6518a-3a88-4527-862b-cd74f75b9228,""PR"",""12792179"","
"93900070-e03a-4fdd-aaff-82d436d07b78,""PR"",""12792180"","
"dcd11985-78ca-40fb-a5b5-71a6f876bf1b,""PR"",""12792292"","
"ca82589b-eb33-47a3-9183-a8d18bc83045,""PR"",""12801414"","
"33194d21-8a16-4bbb-a250-9d1a9f63fb9e,""PR"",""12801834"","
"d686c83c-8811-41bf-9a29-226ab56df330,""PR"",""12801832"","
"8cb1763a-ca96-41ae-b94f-045d157fe233,""PR"",""12801882"","
"198a607d-6ae8-4c0f-897d-4850f06c368c,""PR"",""12801605"","
"19a15315-d1c4-4a5f-90bd-e29f03b39093,""PR"",""12801606"","
"36fc9edc-4406-45a0-9112-65b99fa9c786,""PR"",""12801886"","
"8e03e86d-1015-484d-ba19-e5f2017b2bb0,""PR"",""12801887"","
"2724a6df-a88d-40a2-9215-caefa7184d38,""PR"",""12801889"","
"73a73a84-afe3-4920-9f98-833cdb2489bc,""PR"",""12801890"","
"c1a4bd86-f85b-49a1-b15e-2697c1ef6564,""PR"",""12801891"","
"6da2bdca-85cd-4de2-9f8d-ebd5c71f9726,""PR"",""12801892"","
"4d09716c-e810-4c57-84aa-c50ba48a6699,""PO"",""4500136006"","
"c09940d8-34c8-40bd-ab8d-3c10475cd255,""PR"",""13054524"","
"d4d666ab-2a3f-4268-8ec7-b4bea6e55417,""PO"",""4500136850"","
"c284ea03-c842-4dde-a94a-2d66b251cd76,""PR"",""13169058"","
"cdc86934-565a-44f8-8d42-44ca0b3db185,""PR"",""13169037"","
"db70474f-f037-4d0b-a1fb-def1f16a8211,""PR"",""13169126"","
"dbbc787b-e11e-43ac-aaf6-fcf23c11c4dd,""PO"",""4500137521"","
"0224170a-3494-47f7-ba79-eb05a3491969,""PO"",""4500137531"","
"80379bb7-002f-4d40-bf3f-573ee46aa7d7,""PR"",""13238369"","
"3cc09ee1-5512-4b15-a26e-5951492df9d5,""PO"",""4500137556"","
"2447c8c5-28dd-4f8c-9297-002dc0b792bb,""PR"",""13238711"","
"8f283634-d85d-4759-801d-eb949e1ce02e,""PR"",""13240091"","
"8d140e45-0a76-4ed8-ac3b-e66a238e326d,""PR"",""13240126"","
"08b60394-e088-4b43-b65c-9c26e21f6f34,""PR"",""13242582"","
"fc8efddb-a779-4b5f-9915-69a9e18493e4,""PO"",""4500137746"","
"66e094a8-b75e-42a8-b7a1-fcb876581f09,""PO"",""4500137747"","
"1e6b36d7-37cb-4c55-80ca-458d0a35f3cc,""PR"",""13291986"","
"26dbab22-c863-40d4-8412-9e424cc53b84,""PR"",""13291943"","
"324185e1-dbc9-4bc0-a1b4-a2b392a10363,""PO"",""4500137755"","
"56ce72aa-1e81-4e1f-ab19-4365258d4ec6,""PO"",""4500137767"","
"48e32813-c033-451e-916a-d26b43073d73,""PO"",""4500137768"","
"ba2e4658-baab-40c5-8234-f0bc14eecb99,""PR"",""13291950"","
"8fcaa100-626c-4377-84ab-1ef9e5ddd888,""PR"",""13292302"","
"d1020ed8-c9f3-4857-90df-35269fbe0770,""PR"",""13292834"","
"a6b058c7-7cd6-4bde-8043-c3da4a4d9847,""PR"",""13292844"","
"d6a01564-e91c-4480-8579-f816e0cab71d,""PR"",""13292849"","
"5cde188a-7b5b-4c6f-9111-40e8e5522d54,""PO"",""4500137889"","
"813bb041-c7e2-4d46-b2ae-ccce1ee8acbf,""PO"",""4500137890"","
"bb1b89e0-2483-4a44-a6d9-da00a17bd3b2,""PO"",""4500137895"","
"7d457d1c-011d-41d7-88a3-a36edfa68849,""PO"",""4500137936"","
"f1008223-aae6-4b75-a666-cea2920ff1a9,""PO"",""4500137941"","
"49138256-c5b9-4106-b47b-226303106e67,""PR"",""13297568"","
"f3f63b62-6dfa-4e3a-9892-38dcd973cf92,""PR"",""13297569"","
"74d22baf-18c7-49bd-a429-ecd2f1f2ca8d,""PR"",""13297570"","
