"Instrument,""Qty."",""Avg. cost"",""LTP"",""Invested"",""Cur. val"",""P&L"",""Net chg."",""Day chg."","""""
"702GS2027-GS,5800,101.87,102,590822.8,591600,777.2,0.13,-1.66,"""""
"709GS2054-GS,8100,105.13,105.35,851512.5,853335,1822.5,0.21,-0.33,"""""
"709GS2074-GS,10800,105.69,106.9,1141398,1154520,13122,1.15,0.19,"""""
"717GS2030-GS,2000,102.1,104.25,204200,208500,4300,2.11,-0.11,"""""
"718GS2037-GS,2800,100.63,108.5,281772.4,303800,22027.6,7.82,0.19,"""""
"726GS2032,2300,102.21,104.6,235089.9,240580,5490.1,2.34,0,"""""
"726GS2033-GS,10000,104.07,106.11,1040680,1061100,20420,1.96,-0.37,"""""
"738GS2027-GS,2000,100.69,106,201386,212000,10614,5.27,-0.01,"""""
"73GS2053-GS,1000,102.51,109.77,102512,109770,7258,7.08,1.59,"""""
"ASIANPAINT,270,2772.83,2409.8,748664.35,650646,-98018.35,-13.09,-0.66,"""""
"DELTACORP,325,151.77,93.82,49325.2,30491.5,-18833.7,-38.18,1.34,"""""
"HEROMOTOCO,3,4608.42,3741,13825.25,11223,-2602.25,-18.82,-2.26,"""""
"HINDUNILVR,10,2243.53,2323.9,22435.25,23239,803.75,3.58,-0.78,"""""
"HUDCO,175,238.53,221.97,41742.5,38844.75,-2897.75,-6.94,-0.67,"""""
"JSWSTEEL,10,908.85,973.2,9088.5,9732,643.5,7.08,-5.5,"""""
"NBCC,550,116.67,93.96,64166,51678,-12488,-19.46,-1.29,"""""
"NESTLEIND,420,2384.48,2337.7,1001480.25,981834,-19646.25,-1.96,-2.11,"""""
"SCI,645,242.25,173.87,156251.96,112146.15,-44105.81,-28.23,-2.33,"""""
"TATAMOTORS,80,779.21,652,62336.55,52160,-10176.55,-16.33,1.2,"""""
"TATASTEEL,10,126.91,141.3,1269.1,1413,143.9,11.34,1.11,"""""
"TCS,61,3575.31,3444.7,218093.8,210126.7,-7967.1,-3.65,-0.26,"""""
"UNOMINDA,5,884.5,877.15,4422.5,4385.75,-36.75,-0.83,-1.91,"""""
